epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
59,5645.53,0.95681,0.54595,0.00384,0.53074,0.46009,0.48076,0.36708,0.96628,1.01975,0.0041,0.000808389,0.000808389,0.000808389
60,5740.82,0.93988,0.54493,0.00374,0.65744,0.39624,0.47289,0.35578,0.97196,0.99178,0.00413,0.000802208,0.000802208,0.000802208
61,5835.93,0.94265,0.53715,0.00373,0.59638,0.42447,0.46869,0.35726,0.96873,1.03777,0.00409,0.000795954,0.000795954,0.000795954
62,5931.26,0.91842,0.50934,0.00365,0.63639,0.4001,0.47354,0.36212,0.96274,1.02018,0.00407,0.000789628,0.000789628,0.000789628
63,6026.51,0.92745,0.52558,0.00369,0.61326,0.41612,0.47044,0.3594,0.97071,1.02984,0.00412,0.000783231,0.000783231,0.000783231
64,6121.79,0.9153,0.51436,0.00365,0.62388,0.39562,0.46146,0.35343,0.95896,1.0203,0.00404,0.000776766,0.000776766,0.000776766
65,6217.02,0.91903,0.52555,0.00366,0.58216,0.42016,0.46116,0.35051,0.96965,1.0325,0.00413,0.000770234,0.000770234,0.000770234
66,6312.18,0.90353,0.50936,0.0036,0.62263,0.41655,0.46664,0.35592,0.96459,1.01899,0.00407,0.000763637,0.000763637,0.000763637
67,6407.55,0.89848,0.51114,0.00355,0.64436,0.39285,0.472,0.35907,0.96507,1.02136,0.00407,0.000756976,0.000756976,0.000756976
68,6502.79,0.8973,0.4946,0.00355,0.62615,0.43122,0.47158,0.35855,0.95779,1.01641,0.00405,0.000750252,0.000750252,0.000750252
69,6598.08,0.8822,0.48787,0.00352,0.59314,0.43564,0.47484,0.36215,0.97428,1.01733,0.00411,0.000743468,0.000743468,0.000743468
70,6693.31,0.86603,0.47536,0.00349,0.63587,0.40037,0.46616,0.35421,0.96559,1.02932,0.00409,0.000736625,0.000736625,0.000736625
71,6788.58,0.87443,0.47633,0.00344,0.57762,0.43747,0.4698,0.363,0.95984,1.03062,0.00408,0.000729725,0.000729725,0.000729725
72,6883.86,0.86461,0.48525,0.00342,0.572,0.4343,0.47803,0.36489,0.96449,1.03917,0.00409,0.00072277,0.00072277,0.00072277
73,6979.28,0.87189,0.48657,0.0034,0.5813,0.44383,0.47634,0.36313,0.97103,1.04194,0.00412,0.000715761,0.000715761,0.000715761
74,7074.43,0.8541,0.47852,0.00341,0.64145,0.41164,0.47255,0.35951,0.966,1.02758,0.00408,0.0007087,0.0007087,0.0007087
75,7169.66,0.85912,0.47771,0.00333,0.61799,0.42579,0.4764,0.36244,0.95756,1.02853,0.00407,0.000701588,0.000701588,0.000701588
76,7264.97,0.83894,0.46288,0.00328,0.61636,0.41446,0.48659,0.36917,0.9596,1.0204,0.00407,0.000694428,0.000694428,0.000694428
77,7360.26,0.83924,0.46189,0.00331,0.59686,0.43029,0.48068,0.36279,0.9677,1.01519,0.0041,0.000687222,0.000687222,0.000687222
78,7455.56,0.83425,0.4615,0.00323,0.63888,0.40576,0.47024,0.35658,0.96535,1.0584,0.00409,0.00067997,0.00067997,0.00067997
79,7550.78,0.82486,0.45521,0.00326,0.56474,0.4284,0.47542,0.36052,0.97424,1.04031,0.00416,0.000672675,0.000672675,0.000672675
80,7646.01,0.8203,0.44903,0.00323,0.58506,0.41824,0.47845,0.36319,0.9674,1.0293,0.00411,0.000665339,0.000665339,0.000665339
81,7741.21,0.81721,0.44331,0.00322,0.63243,0.38988,0.47736,0.3636,0.96826,1.05767,0.0041,0.000657963,0.000657963,0.000657963
82,7836.49,0.8183,0.44148,0.0032,0.63989,0.40371,0.46623,0.35411,0.96839,1.0426,0.00411,0.00065055,0.00065055,0.00065055
83,7931.78,0.80665,0.44114,0.00317,0.59385,0.43565,0.48794,0.37141,0.96156,1.03528,0.00408,0.000643101,0.000643101,0.000643101
84,8027.13,0.81896,0.44941,0.00315,0.62363,0.4295,0.493,0.37565,0.96432,1.05097,0.00409,0.000635617,0.000635617,0.000635617
85,8122.42,0.79603,0.42855,0.0031,0.54648,0.46397,0.48237,0.36692,0.96749,1.06027,0.00409,0.000628101,0.000628101,0.000628101
86,8217.69,0.79648,0.4357,0.00311,0.62479,0.4319,0.47402,0.36085,0.96285,1.04179,0.00409,0.000620555,0.000620555,0.000620555
87,8312.87,0.77829,0.42555,0.00304,0.63996,0.43,0.4852,0.3691,0.97148,1.04839,0.00412,0.000612981,0.000612981,0.000612981
88,8408.14,0.78645,0.42607,0.00304,0.62476,0.43526,0.48209,0.36871,0.96299,1.06271,0.00409,0.00060538,0.00060538,0.00060538
89,8503.43,0.77369,0.41104,0.00301,0.61667,0.43142,0.48272,0.36684,0.96637,1.05088,0.0041,0.000597754,0.000597754,0.000597754
90,8598.68,0.78216,0.42902,0.00307,0.65391,0.41286,0.48578,0.37084,0.96541,1.05351,0.00409,0.000590105,0.000590105,0.000590105
91,8693.96,0.76931,0.41358,0.00297,0.62374,0.42838,0.47827,0.36548,0.96769,1.05234,0.00411,0.000582435,0.000582435,0.000582435
92,8789.26,0.7801,0.41626,0.00302,0.62538,0.41989,0.4878,0.37192,0.97177,1.06779,0.00412,0.000574746,0.000574746,0.000574746
93,8884.57,0.76583,0.40593,0.00293,0.58382,0.4505,0.47878,0.36601,0.96377,1.06002,0.00409,0.00056704,0.00056704,0.00056704
94,8979.8,0.76334,0.4148,0.00293,0.60519,0.4293,0.48554,0.36846,0.96891,1.06753,0.00411,0.000559318,0.000559318,0.000559318
95,9075.15,0.76174,0.40993,0.00294,0.63654,0.41392,0.48004,0.36367,0.96771,1.05783,0.0041,0.000551584,0.000551584,0.000551584
96,9170.47,0.74289,0.39869,0.00292,0.58446,0.43452,0.47589,0.36156,0.96198,1.05328,0.00408,0.000543837,0.000543837,0.000543837
97,9265.6,0.7444,0.39534,0.00288,0.63031,0.42128,0.4798,0.36803,0.96379,1.05042,0.00409,0.000536081,0.000536081,0.000536081
98,9360.82,0.74611,0.39689,0.00291,0.61618,0.43991,0.47504,0.36377,0.96525,1.07106,0.00411,0.000528318,0.000528318,0.000528318
99,9456.02,0.74181,0.38564,0.00286,0.60512,0.42424,0.47555,0.3629,0.96517,1.07796,0.0041,0.000520548,0.000520548,0.000520548
100,9551.18,0.73199,0.38905,0.00282,0.59902,0.4184,0.47202,0.35926,0.96472,1.07851,0.00409,0.000512775,0.000512775,0.000512775
101,9646.53,0.73072,0.39234,0.00281,0.58177,0.45122,0.47507,0.36294,0.96634,1.07481,0.0041,0.000505,0.000505,0.000505
102,9741.93,0.71302,0.37859,0.00272,0.64439,0.42785,0.47985,0.36602,0.97031,1.06763,0.00412,0.000497225,0.000497225,0.000497225
103,9837.16,0.72629,0.38568,0.00279,0.59913,0.44181,0.48738,0.3718,0.96668,1.08097,0.00411,0.000489452,0.000489452,0.000489452
104,9932.27,0.71213,0.37523,0.00271,0.57057,0.44643,0.48665,0.37236,0.96803,1.08184,0.00411,0.000481682,0.000481682,0.000481682
105,10027.5,0.72283,0.38407,0.00279,0.58696,0.44778,0.4882,0.37252,0.96476,1.07651,0.0041,0.000473919,0.000473919,0.000473919
106,10122.9,0.70852,0.36781,0.00276,0.60597,0.44529,0.48901,0.37528,0.96405,1.07778,0.00409,0.000466163,0.000466163,0.000466163
107,10218.4,0.70091,0.36383,0.00274,0.5908,0.43736,0.49436,0.3779,0.96614,1.06519,0.0041,0.000458416,0.000458416,0.000458416
108,10313.6,0.68799,0.35645,0.00264,0.57033,0.44471,0.48815,0.37153,0.96592,1.08195,0.00411,0.000450682,0.000450682,0.000450682
109,10408.9,0.69274,0.36487,0.00267,0.60245,0.43632,0.4827,0.36883,0.96958,1.08054,0.00411,0.00044296,0.00044296,0.00044296
110,10504.2,0.68648,0.36404,0.00265,0.61299,0.43275,0.48016,0.36718,0.96971,1.0906,0.00411,0.000435254,0.000435254,0.000435254
111,10599.4,0.68275,0.35459,0.0026,0.56273,0.45616,0.48297,0.36647,0.97106,1.07523,0.00411,0.000427565,0.000427565,0.000427565
112,10694.8,0.68168,0.36136,0.00264,0.59054,0.44272,0.47678,0.36367,0.96995,1.0827,0.00412,0.000419895,0.000419895,0.000419895
113,10790,0.68135,0.35708,0.0026,0.5745,0.44255,0.48832,0.37228,0.96997,1.09416,0.00412,0.000412246,0.000412246,0.000412246
114,10885.3,0.67142,0.35066,0.00257,0.62823,0.42842,0.49081,0.37388,0.97273,1.08694,0.00413,0.00040462,0.00040462,0.00040462
115,10980.7,0.67331,0.3594,0.0026,0.58786,0.44743,0.48378,0.36868,0.97036,1.08673,0.00412,0.000397019,0.000397019,0.000397019
116,11076.1,0.65945,0.34616,0.00252,0.63356,0.43314,0.49419,0.37487,0.97223,1.08286,0.00413,0.000389445,0.000389445,0.000389445
117,11171.5,0.66289,0.3493,0.00251,0.5923,0.4516,0.49063,0.37155,0.97023,1.09159,0.00411,0.000381899,0.000381899,0.000381899
118,11266.7,0.65083,0.34722,0.00247,0.60074,0.43572,0.49311,0.3736,0.97001,1.08598,0.00411,0.000374383,0.000374383,0.000374383
119,11362.1,0.65746,0.33902,0.0025,0.63245,0.41106,0.48505,0.3704,0.96746,1.08725,0.0041,0.000366899,0.000366899,0.000366899
120,11457.5,0.65315,0.34499,0.0025,0.57559,0.43714,0.47062,0.35779,0.97031,1.09903,0.00411,0.00035945,0.00035945,0.00035945
121,11552.9,0.64461,0.34281,0.00246,0.63109,0.42372,0.47918,0.36307,0.96855,1.09829,0.0041,0.000352037,0.000352037,0.000352037
122,11648.2,0.64265,0.33628,0.00245,0.66622,0.40119,0.48231,0.36538,0.96816,1.10026,0.0041,0.000344661,0.000344661,0.000344661
123,11743.5,0.64288,0.34349,0.00248,0.65454,0.39902,0.47833,0.36136,0.97064,1.10986,0.00411,0.000337325,0.000337325,0.000337325
124,11838.7,0.63118,0.33252,0.00243,0.61296,0.43364,0.48328,0.3667,0.96977,1.10461,0.00411,0.00033003,0.00033003,0.00033003
125,11933.9,0.63066,0.33533,0.00241,0.60443,0.43307,0.4857,0.37001,0.97077,1.10015,0.00411,0.000322778,0.000322778,0.000322778
126,12029.2,0.62552,0.33569,0.0024,0.55047,0.45112,0.479,0.36344,0.96893,1.09164,0.00411,0.000315572,0.000315572,0.000315572
127,12124.4,0.63137,0.33074,0.00239,0.54821,0.46115,0.48066,0.36642,0.96822,1.09427,0.00411,0.000308412,0.000308412,0.000308412
128,12219.7,0.62099,0.32507,0.00237,0.56776,0.43272,0.4793,0.36492,0.97145,1.09041,0.00413,0.0003013,0.0003013,0.0003013
129,12315,0.62035,0.33022,0.00234,0.5707,0.42854,0.47974,0.36459,0.97219,1.09387,0.00413,0.000294239,0.000294239,0.000294239
130,12410.3,0.60994,0.32304,0.00232,0.57718,0.43572,0.48338,0.36762,0.97178,1.09418,0.00412,0.00028723,0.00028723,0.00028723
131,12505.5,0.61529,0.32023,0.00232,0.60827,0.41286,0.48281,0.36496,0.972,1.0986,0.00411,0.000280275,0.000280275,0.000280275
132,12600.9,0.60385,0.3184,0.00228,0.62919,0.40936,0.47827,0.36287,0.97162,1.10262,0.00411,0.000273375,0.000273375,0.000273375
133,12696.3,0.60876,0.32198,0.00226,0.58309,0.42451,0.47498,0.35928,0.97324,1.11015,0.00412,0.000266532,0.000266532,0.000266532
134,12791.6,0.60086,0.31813,0.00225,0.59746,0.41992,0.46896,0.35458,0.97204,1.10531,0.00412,0.000259748,0.000259748,0.000259748
135,12887,0.59963,0.32546,0.00229,0.60754,0.41505,0.46892,0.35485,0.97319,1.10724,0.00412,0.000253024,0.000253024,0.000253024
136,12982.7,0.59998,0.31864,0.00228,0.57626,0.42484,0.47401,0.35931,0.97254,1.10168,0.00412,0.000246363,0.000246363,0.000246363
137,13078.2,0.59197,0.30859,0.00221,0.57021,0.42375,0.47268,0.35794,0.97283,1.10677,0.00412,0.000239766,0.000239766,0.000239766
138,13173.4,0.59265,0.31285,0.00222,0.59718,0.4064,0.47462,0.35908,0.97352,1.11345,0.00412,0.000233234,0.000233234,0.000233234
139,13268.7,0.58913,0.31431,0.00222,0.63605,0.39494,0.47186,0.35691,0.97309,1.12184,0.00411,0.000226769,0.000226769,0.000226769
140,13364.1,0.57962,0.30105,0.0022,0.58652,0.42167,0.46695,0.3528,0.97392,1.12149,0.00412,0.000220372,0.000220372,0.000220372
141,13459.4,0.57863,0.30436,0.0022,0.6127,0.40695,0.46638,0.3517,0.97224,1.12179,0.00411,0.000214046,0.000214046,0.000214046
142,13554.7,0.57316,0.30272,0.00216,0.61187,0.40591,0.46577,0.35226,0.9724,1.11735,0.00411,0.000207792,0.000207792,0.000207792
143,13649.9,0.57444,0.30225,0.00214,0.60718,0.40631,0.46735,0.35315,0.97168,1.11577,0.00411,0.000201611,0.000201611,0.000201611
144,13745.2,0.57155,0.30304,0.00213,0.61965,0.40761,0.46751,0.3535,0.97313,1.11051,0.00411,0.000195505,0.000195505,0.000195505
145,13840.7,0.56867,0.30143,0.00214,0.60815,0.41305,0.4714,0.35802,0.97227,1.10674,0.00412,0.000189475,0.000189475,0.000189475
146,13935.9,0.56773,0.30086,0.00211,0.64002,0.39915,0.46839,0.35606,0.97192,1.10889,0.00411,0.000183523,0.000183523,0.000183523
147,14031.5,0.56949,0.30685,0.00212,0.63223,0.39772,0.46906,0.35687,0.97159,1.11107,0.00411,0.000177651,0.000177651,0.000177651
