epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
84,9334.75,1.05372,1.14284,0.0038,0.45906,0.25966,0.28597,0.21577,0.9698,1.13996,0.00406,2.28905e-06,2.28905e-06,2.28905e-06
85,9445.61,1.06252,1.13993,0.00384,0.45853,0.26539,0.28754,0.21765,0.97074,1.13773,0.00406,2.06562e-06,2.06562e-06,2.06562e-06
86,9556.79,1.05296,1.14149,0.00378,0.4615,0.26084,0.28856,0.21792,0.97046,1.13799,0.00406,1.8546e-06,1.8546e-06,1.8546e-06
87,9668.15,1.05768,1.15653,0.00383,0.45045,0.25916,0.28734,0.217,0.969,1.13842,0.00405,1.65621e-06,1.65621e-06,1.65621e-06
88,9779.37,1.04692,1.13238,0.0038,0.49303,0.2417,0.28492,0.21498,0.96874,1.13747,0.00406,1.47063e-06,1.47063e-06,1.47063e-06
89,9890.22,1.05189,1.15381,0.00381,0.45638,0.26135,0.28536,0.21527,0.96919,1.13658,0.00406,1.29806e-06,1.29806e-06,1.29806e-06
90,10001.1,1.06504,1.14237,0.00381,0.49422,0.24017,0.28565,0.21576,0.96732,1.13585,0.00406,1.13866e-06,1.13866e-06,1.13866e-06
91,10111.7,1.06354,0.94578,0.00457,0.44886,0.25108,0.27614,0.20751,0.96923,1.15593,0.00405,9.92584e-07,9.92584e-07,9.92584e-07
92,10221.5,1.05088,0.93824,0.00453,0.47366,0.24562,0.27686,0.20823,0.96863,1.15753,0.00404,8.59984e-07,8.59984e-07,8.59984e-07
93,10331.2,1.06593,0.95375,0.00457,0.48212,0.24367,0.27761,0.20884,0.97246,1.15568,0.00406,7.40989e-07,7.40989e-07,7.40989e-07
94,10441,1.05476,0.94099,0.00456,0.48135,0.24693,0.27798,0.20909,0.97518,1.15551,0.00407,6.35715e-07,6.35715e-07,6.35715e-07
95,10550.6,1.05061,0.93876,0.00454,0.48718,0.24487,0.27832,0.20963,0.96984,1.1544,0.00405,5.44267e-07,5.44267e-07,5.44267e-07
96,10660.3,1.05445,0.94068,0.00453,0.49346,0.24211,0.27883,0.2099,0.97159,1.15339,0.00406,4.66734e-07,4.66734e-07,4.66734e-07
97,10770.2,1.04547,0.94315,0.00454,0.47971,0.23991,0.27857,0.20978,0.97061,1.15263,0.00406,4.03193e-07,4.03193e-07,4.03193e-07
98,10879.9,1.05512,0.93972,0.00454,0.49431,0.24231,0.27948,0.21069,0.9699,1.153,0.00405,3.53708e-07,3.53708e-07,3.53708e-07
99,10989.7,1.03823,0.92434,0.00445,0.48129,0.24425,0.27872,0.21014,0.97169,1.15323,0.00406,3.18326e-07,3.18326e-07,3.18326e-07
100,11099.5,1.03909,0.9384,0.0044,0.49405,0.24373,0.27895,0.21025,0.97147,1.15519,0.00405,2.97083e-07,2.97083e-07,2.97083e-07
